soil_moisture,rainfall,rainfall_24h,slope_angle,tilt_rate,factor_of_safety,synthetic_risk_probability,hazard_label,hazard_tier
35.72,32.11,42.4,46.35,-0.029,0.76,0.9281,1,CRITICAL
82.46,59.11,94.95,20.22,0.0724,1.07,0.9947,1,CRITICAL
68.9,39.52,75.19,38.25,0.077,0.68,0.9961,1,CRITICAL
27.53,23.78,29.15,34.98,0.0186,1.03,0.5969,1,HIGH
21.93,56.48,93.78,29.96,-0.0214,1.24,0.7227,1,HIGH
39.04,24.05,47.54,40.31,0.0754,0.83,0.8941,1,CRITICAL
13.44,28.55,36.08,30.6,0.0322,1.3,0.3581,0,MODERATE
80.61,55.17,81.1,30.72,0.0906,0.74,0.996,1,CRITICAL
47.89,66.07,106.54,27.63,0.0524,1.09,0.9377,1,CRITICAL
21.49,42.99,43.03,36.56,0.0164,1.03,0.6164,1,HIGH
52.6,45.11,53.07,35.68,0.046,0.83,0.9665,1,CRITICAL
26.35,26.78,27.94,23.62,0.0339,1.51,0.1945,0,LOW
64.62,67.0,68.89,18.77,0.0688,1.36,0.9337,1,CRITICAL
62.89,36.75,63.7,26.58,0.0402,0.99,0.9621,1,CRITICAL
57.78,32.02,61.11,22.4,0.0404,1.22,0.864,1,CRITICAL
55.71,39.12,50.87,27.56,0.0453,1.02,0.925,1,CRITICAL
60.97,31.78,57.17,36.66,0.0464,0.75,0.9891,1,CRITICAL
42.07,27.66,45.91,24.8,0.0238,1.27,0.5992,1,HIGH
77.7,43.89,89.58,27.7,0.0674,0.83,0.9942,1,CRITICAL
64.75,50.1,73.39,28.41,0.063,0.91,0.9826,1,CRITICAL
51.47,11.13,43.07,33.94,0.055,0.87,0.94,1,CRITICAL
71.01,35.66,61.04,12.27,-0.0492,1.95,0.6054,1,HIGH
67.34,32.41,54.28,23.75,-0.0456,1.06,0.9685,1,CRITICAL
26.83,8.59,21.58,29.48,0.0121,1.21,0.3268,0,MODERATE
26.67,0.0,25.15,36.4,0.0244,1.0,0.5183,1,HIGH
23.36,8.02,42.78,24.56,0.0381,1.49,0.4432,0,MODERATE
29.65,27.93,58.99,14.86,-0.0234,2.33,0.0297,0,LOW
56.3,36.89,52.5,32.34,0.0398,0.87,0.9128,1,CRITICAL
90.56,53.81,84.87,23.55,0.0982,0.85,0.9989,1,CRITICAL
46.99,33.41,55.96,19.67,-0.0443,1.53,0.6798,1,HIGH
49.56,42.45,85.49,23.63,-0.0655,1.25,0.9498,1,CRITICAL
60.92,54.62,85.35,26.71,0.0813,1.0,0.9895,1,CRITICAL
59.63,11.16,48.59,23.77,0.0305,1.13,0.9465,1,CRITICAL
36.89,0.0,33.79,12.56,-0.0347,2.6,0.0083,0,LOW
38.8,16.64,31.79,34.28,-0.0268,0.96,0.7205,1,CRITICAL
54.08,29.12,57.64,36.92,0.039,0.79,0.9541,1,CRITICAL
37.09,39.09,48.26,32.56,-0.0346,1.02,0.7688,1,CRITICAL
40.19,24.19,37.68,20.04,0.0197,1.59,0.2915,0,MODERATE
41.33,53.66,61.91,26.59,0.0275,1.19,0.7193,1,HIGH
70.24,33.66,65.23,27.95,0.0955,0.88,0.987,1,CRITICAL
37.71,80.8,126.56,32.19,0.0521,1.02,0.9468,1,CRITICAL
35.41,14.48,28.34,32.68,0.0547,1.03,0.7593,1,CRITICAL
56.94,42.19,47.29,22.86,0.0231,1.21,0.8574,1,CRITICAL
51.92,26.12,46.93,28.57,0.0303,1.02,0.852,1,CRITICAL
57.73,36.49,46.57,31.2,-0.0361,0.89,0.9546,1,CRITICAL
35.78,20.12,51.5,38.19,0.0432,0.89,0.8218,1,CRITICAL
27.11,9.35,22.5,32.93,0.0103,1.09,0.208,0,HIGH
32.63,27.26,46.84,33.52,-0.0812,1.03,0.8689,1,CRITICAL
54.7,39.38,44.57,28.59,0.044,0.99,0.8969,1,CRITICAL
57.81,8.4,50.62,37.87,0.0604,0.75,0.9692,1,CRITICAL
28.76,27.04,50.62,30.87,0.0167,1.14,0.4926,0,HIGH
40.84,43.1,77.94,21.97,-0.033,1.44,0.5902,1,HIGH
24.53,0.0,27.66,37.82,0.0522,0.98,0.6309,1,CRITICAL
28.65,40.65,75.49,32.89,0.0284,1.08,0.7075,1,HIGH
62.42,23.43,64.72,24.9,-0.0359,1.06,0.9038,1,CRITICAL
70.87,15.55,64.76,24.64,0.0477,0.99,0.9428,1,CRITICAL
36.59,29.55,53.63,30.08,-0.0596,1.1,0.7001,1,HIGH
49.64,24.01,44.96,31.24,0.0332,0.96,0.9495,1,CRITICAL
64.56,31.32,56.28,29.38,0.0434,0.89,0.9663,1,CRITICAL
16.16,19.9,28.95,30.18,0.0205,1.29,0.3593,0,MODERATE
66.87,27.76,60.92,39.9,0.0956,0.67,0.9945,1,CRITICAL
51.5,43.94,43.39,35.5,0.0272,0.84,0.9162,1,CRITICAL
59.71,28.95,48.81,29.33,0.031,0.93,0.9411,1,CRITICAL
38.86,45.47,54.34,34.59,0.0265,0.95,0.8705,1,CRITICAL
74.26,28.99,76.31,20.77,-0.0406,1.13,0.9462,1,CRITICAL
21.37,6.69,25.06,30.79,0.0109,1.22,0.2678,0,MODERATE
57.2,54.71,79.74,40.67,0.0657,0.71,0.9902,1,CRITICAL
74.44,38.23,67.49,26.47,0.0563,0.89,0.973,1,CRITICAL
26.92,13.34,40.12,22.07,0.0139,1.61,0.2317,0,LOW
15.57,10.67,48.43,23.44,0.0137,1.66,0.14,0,LOW
71.35,58.11,84.63,20.37,0.0837,1.18,0.9597,1,CRITICAL
66.2,44.73,63.69,22.51,-0.0342,1.13,0.9075,1,CRITICAL
41.08,32.43,49.99,25.41,0.0248,1.25,0.6584,1,HIGH
48.91,23.32,47.14,18.16,0.0184,1.62,0.4519,0,MODERATE
54.38,24.35,59.13,28.11,0.0421,1.01,0.9555,1,CRITICAL
68.65,35.1,59.39,34.32,0.0666,0.74,0.987,1,CRITICAL
53.1,17.47,51.04,21.65,0.045,1.32,0.8917,1,CRITICAL
28.48,8.27,26.31,38.63,0.0205,0.93,0.6541,1,CRITICAL
27.5,26.16,22.58,31.58,0.0355,1.13,0.5059,1,HIGH
72.86,24.46,71.61,35.21,0.0843,0.7,0.9964,1,CRITICAL
20.48,34.59,46.36,23.4,0.01,1.6,0.1479,0,LOW
64.49,46.13,51.98,33.98,0.0422,0.78,0.977,1,CRITICAL
36.13,27.47,32.17,20.36,0.0246,1.62,0.3689,0,MODERATE
13.62,16.07,20.15,34.23,0.0583,1.16,0.4534,0,HIGH
60.93,34.48,65.19,29.2,0.0457,0.92,0.9514,1,CRITICAL
51.89,20.14,44.33,31.87,0.0284,0.92,0.8725,1,CRITICAL
47.85,1.01,39.16,19.77,0.0429,1.51,0.6554,1,HIGH
35.87,24.18,39.68,21.73,0.0137,1.52,0.3299,0,MODERATE
83.33,51.35,92.28,32.18,0.1004,0.69,0.9977,1,CRITICAL
47.94,16.36,38.89,21.36,-0.0138,1.4,0.3638,0,MODERATE
42.27,23.96,40.27,31.24,0.018,1.02,0.7661,1,CRITICAL
32.99,26.26,42.73,18.43,0.0177,1.83,0.1395,0,LOW
26.71,7.73,23.47,33.94,0.0231,1.06,0.4686,0,HIGH
59.18,46.96,51.38,19.37,0.0219,1.39,0.5824,1,HIGH
39.39,33.11,43.01,31.87,0.0396,1.02,0.7472,1,HIGH
9.78,41.22,53.76,32.38,0.0077,1.26,0.3834,0,MODERATE
32.2,17.47,30.84,23.12,0.0191,1.47,0.3027,0,MODERATE
69.44,44.46,65.58,32.07,0.0542,0.79,0.9906,1,CRITICAL
62.3,25.54,57.5,29.82,-0.0565,0.89,0.9809,1,CRITICAL
32.79,42.89,60.38,24.23,0.0404,1.4,0.4928,0,MODERATE
67.58,31.07,55.19,20.94,0.0271,1.19,0.8838,1,CRITICAL
73.87,32.75,71.62,14.26,0.0284,1.63,0.7639,1,CRITICAL
79.52,54.79,91.69,30.45,0.1075,0.75,0.9985,1,CRITICAL
70.84,70.98,123.16,17.05,-0.0576,1.41,0.9765,1,CRITICAL
43.77,55.04,53.01,28.67,0.0319,1.09,0.8943,1,CRITICAL
57.38,36.2,53.07,26.16,0.0293,1.06,0.9199,1,CRITICAL
53.6,46.3,50.84,32.75,0.1089,0.88,0.986,1,CRITICAL
74.07,50.77,65.75,25.89,0.0805,0.92,0.9945,1,CRITICAL
55.11,35.16,57.97,25.69,0.0274,1.1,0.8699,1,CRITICAL
20.81,17.66,36.82,33.12,0.0205,1.14,0.5465,1,HIGH
14.31,4.87,37.13,30.35,0.0362,1.3,0.3548,0,MODERATE
66.07,27.85,60.94,30.21,0.049,0.85,0.9818,1,CRITICAL
39.95,37.15,50.88,31.28,0.0298,1.03,0.797,1,CRITICAL
48.35,42.5,75.87,17.25,-0.0282,1.72,0.3452,0,MODERATE
22.41,37.34,55.97,33.3,-0.0144,1.12,0.5708,1,HIGH
15.36,0.0,30.55,32.29,0.0285,1.22,0.3519,0,MODERATE
60.71,42.79,63.76,20.88,0.0361,1.27,0.844,1,CRITICAL
75.9,54.22,72.1,26.29,0.0593,0.89,0.9882,1,CRITICAL
48.45,7.32,41.8,27.72,0.0231,1.08,0.7418,1,HIGH
58.56,33.01,48.83,27.06,0.0488,1.01,0.912,1,CRITICAL
43.36,40.23,44.67,30.34,0.0433,1.03,0.8246,1,CRITICAL
66.58,50.32,55.87,38.02,0.0592,0.7,0.9809,1,CRITICAL
65.38,34.09,65.21,35.57,0.0858,0.74,0.9905,1,CRITICAL
67.62,49.59,69.66,18.81,0.0314,1.32,0.9091,1,CRITICAL
52.59,46.25,53.25,32.35,0.0534,0.9,0.9687,1,CRITICAL
32.02,19.72,26.18,37.3,0.0227,0.94,0.8235,1,CRITICAL
44.85,34.92,36.78,30.71,0.0208,1.01,0.7636,1,CRITICAL
63.34,31.13,52.48,35.64,0.0416,0.76,0.9837,1,CRITICAL
52.85,30.81,44.78,42.09,-0.0386,0.72,0.9632,1,CRITICAL
35.95,52.38,97.66,35.17,0.0703,0.96,0.953,1,CRITICAL
59.71,30.81,54.1,29.75,0.0553,0.92,0.9666,1,CRITICAL
36.94,25.17,34.73,35.32,0.0306,0.95,0.8436,1,CRITICAL
40.1,12.77,32.89,29.01,0.0142,1.11,0.5951,1,HIGH
63.86,37.5,66.22,28.17,0.0862,0.93,0.9813,1,CRITICAL
68.44,49.96,70.59,25.54,0.0466,0.98,0.9683,1,CRITICAL
27.53,35.47,24.91,38.94,0.0229,0.93,0.6005,1,CRITICAL
59.53,30.73,85.37,22.27,-0.0621,1.21,0.9653,1,CRITICAL
34.09,50.64,51.45,38.73,0.0248,0.89,0.79,1,CRITICAL
41.81,19.83,37.38,31.5,-0.0323,1.01,0.7652,1,CRITICAL
15.67,23.16,22.52,18.2,0.0026,2.13,0.0122,0,LOW
77.5,54.33,71.2,30.57,-0.0578,0.76,0.9935,1,CRITICAL
75.99,55.98,67.22,13.3,0.0419,1.71,0.7427,1,HIGH
80.73,46.78,90.11,32.38,0.081,0.7,0.9987,1,CRITICAL
63.39,29.22,52.45,34.2,0.0467,0.78,0.97,1,CRITICAL
35.84,21.5,36.72,23.85,0.0147,1.39,0.3565,0,MODERATE
47.1,24.06,46.06,28.86,0.0291,1.05,0.7145,1,HIGH
24.8,30.78,29.33,41.68,0.0113,0.9,0.5944,1,CRITICAL
70.48,50.84,86.02,24.46,0.0705,1.0,0.9788,1,CRITICAL
51.48,10.74,44.88,20.59,0.0171,1.4,0.5029,1,HIGH
49.67,18.49,41.37,38.37,0.0536,0.8,0.9037,1,CRITICAL
61.11,22.21,63.32,41.74,0.0701,0.68,0.9859,1,CRITICAL
35.34,16.4,31.14,28.03,0.0184,1.19,0.5198,1,HIGH
34.5,23.99,28.77,35.08,-0.0418,0.97,0.7536,1,CRITICAL
30.85,13.27,33.02,37.39,0.0158,0.94,0.651,1,CRITICAL
43.5,19.08,38.52,22.8,0.0173,1.36,0.4712,0,MODERATE
39.35,20.17,38.2,24.6,0.0145,1.31,0.439,0,MODERATE
40.49,23.55,36.9,36.62,0.0254,0.89,0.833,1,CRITICAL
58.34,34.04,48.13,39.8,0.1021,0.72,0.9893,1,CRITICAL
72.97,50.5,70.7,31.94,0.0576,0.76,0.9921,1,CRITICAL
67.24,55.08,54.2,21.84,0.0532,1.15,0.9342,1,CRITICAL
67.93,64.38,105.24,41.91,0.1157,0.64,0.9984,1,CRITICAL
45.16,32.79,42.39,24.28,0.0157,1.26,0.677,1,HIGH
58.2,22.75,64.38,25.65,0.0755,1.07,0.9673,1,CRITICAL
35.47,28.2,53.32,30.4,0.0723,1.1,0.8551,1,CRITICAL
78.47,37.91,67.68,38.88,0.1077,0.62,0.9988,1,CRITICAL
43.53,23.15,55.54,33.98,0.0378,0.93,0.9013,1,CRITICAL
72.9,45.71,85.11,30.9,0.0677,0.79,0.9934,1,CRITICAL
53.19,26.94,46.7,31.24,0.0333,0.93,0.9128,1,CRITICAL
43.45,59.84,108.15,28.3,0.0586,1.1,0.9522,1,CRITICAL
58.36,54.22,47.0,31.91,0.0363,0.87,0.9277,1,CRITICAL
76.44,44.01,64.82,12.0,0.0383,1.89,0.4574,0,MODERATE
34.72,50.3,50.49,25.92,-0.039,1.29,0.634,1,HIGH
42.36,37.2,37.13,29.69,0.0191,1.06,0.7847,1,CRITICAL
24.51,16.16,37.58,19.94,0.0139,1.82,0.0524,0,LOW
73.75,53.19,88.02,30.7,0.1139,0.78,0.9983,1,CRITICAL
29.16,38.44,71.32,26.57,0.0227,1.32,0.4076,0,MODERATE
80.88,42.99,74.35,40.29,0.0871,0.59,0.9977,1,CRITICAL
77.19,59.19,114.92,39.01,0.1159,0.62,0.9996,1,CRITICAL
29.95,14.74,31.92,24.74,0.0139,1.41,0.3005,0,MODERATE
33.98,22.12,30.88,26.94,0.0164,1.25,0.4228,0,MODERATE
69.39,43.13,66.33,27.48,-0.0437,0.9,0.9791,1,CRITICAL
49.81,35.89,55.59,24.84,0.0229,1.19,0.8473,1,CRITICAL
10.68,10.04,17.73,29.37,-0.0147,1.38,0.0765,0,MODERATE
44.75,37.62,48.35,22.69,0.0217,1.35,0.6925,1,HIGH
48.13,25.38,46.58,20.09,0.0153,1.48,0.433,0,MODERATE
64.99,51.81,63.15,32.36,0.0738,0.81,0.9899,1,CRITICAL
27.01,21.93,67.35,32.41,0.0328,1.11,0.6743,1,HIGH
89.33,55.68,81.86,22.37,0.0573,0.9,0.9969,1,CRITICAL
66.29,39.33,57.41,34.27,0.0735,0.76,0.9885,1,CRITICAL
87.81,48.2,91.58,23.58,0.0676,0.87,0.994,1,CRITICAL
56.41,27.23,51.31,29.77,0.0326,0.94,0.9382,1,CRITICAL
10.85,25.1,34.09,33.74,0.0379,1.2,0.4554,0,MODERATE
45.44,31.5,37.23,27.76,-0.0186,1.11,0.7982,1,CRITICAL
55.34,12.7,50.33,31.18,0.0606,0.91,0.9576,1,CRITICAL
18.36,15.99,16.17,24.38,0.0268,1.56,0.1415,0,LOW
17.5,4.63,15.34,26.62,0.0079,1.44,0.0999,0,MODERATE
64.59,51.92,67.78,26.56,-0.0393,0.98,0.9682,1,CRITICAL
23.58,0.0,26.17,22.77,0.006,1.6,0.1149,0,LOW
66.0,74.6,83.58,26.76,0.051,0.96,0.9443,1,CRITICAL
46.11,19.81,47.78,17.16,0.0458,1.76,0.2764,0,MODERATE
67.31,49.76,59.1,24.56,0.0403,1.03,0.9563,1,CRITICAL
50.7,35.13,59.7,26.01,-0.0267,1.13,0.8515,1,CRITICAL
59.11,28.99,61.96,26.21,0.0442,1.04,0.9382,1,CRITICAL
23.76,28.52,43.12,26.31,0.0125,1.39,0.2764,0,MODERATE
67.56,52.01,69.53,27.57,0.0472,0.92,0.9844,1,CRITICAL
88.07,28.39,73.2,31.36,0.07,0.67,0.9978,1,CRITICAL
60.84,46.2,65.31,34.12,-0.0667,0.8,0.964,1,CRITICAL
18.55,13.25,22.29,23.45,0.0032,1.62,0.1297,0,LOW
32.68,27.06,35.47,19.58,0.0162,1.73,0.074,0,LOW
68.0,55.66,92.58,20.71,0.0448,1.2,0.9704,1,CRITICAL
64.03,29.03,57.92,24.59,0.0425,1.06,0.9027,1,CRITICAL
73.67,32.75,73.14,25.54,0.0522,0.93,0.9902,1,CRITICAL
31.51,25.92,31.99,22.61,-0.008,1.52,0.1848,0,LOW
26.15,20.12,22.41,18.93,-0.013,1.89,0.0531,0,LOW
26.04,24.56,29.9,24.81,0.0191,1.45,0.127,0,LOW
39.85,31.58,45.51,29.27,0.022,1.1,0.7705,1,CRITICAL
42.14,34.39,41.57,32.17,-0.0405,0.99,0.8631,1,CRITICAL
76.69,55.33,68.78,24.1,0.0493,0.96,0.9857,1,CRITICAL
46.14,18.84,62.67,25.11,0.045,1.21,0.8711,1,CRITICAL
55.41,3.45,44.78,21.51,0.0308,1.3,0.7611,1,CRITICAL
70.53,54.19,61.68,27.78,0.0708,0.89,0.9846,1,CRITICAL
53.9,27.49,68.17,22.06,0.0389,1.28,0.8014,1,CRITICAL
54.87,38.27,81.88,32.01,0.051,0.89,0.9678,1,CRITICAL
19.74,11.38,23.76,15.5,0.0284,2.43,0.0112,0,LOW
48.6,26.56,71.83,25.48,0.0526,1.17,0.863,1,CRITICAL
79.87,36.52,67.22,30.11,0.1077,0.75,0.9947,1,CRITICAL
46.66,15.17,41.08,29.29,-0.0202,1.04,0.7335,1,HIGH
33.02,30.36,54.5,46.85,0.0415,0.77,0.926,1,CRITICAL
38.91,42.5,66.17,30.45,-0.0363,1.07,0.825,1,CRITICAL
54.62,25.05,47.48,20.97,0.0348,1.34,0.7779,1,CRITICAL
56.36,23.67,46.01,27.33,-0.0824,1.02,0.9127,1,CRITICAL
52.43,28.6,43.36,15.57,0.0232,1.83,0.1095,0,LOW
57.67,40.85,50.68,27.44,-0.0441,1.01,0.934,1,CRITICAL
73.93,64.42,80.64,22.17,0.0505,1.06,0.9843,1,CRITICAL
40.62,23.73,43.19,34.41,0.0255,0.94,0.725,1,CRITICAL
73.58,59.04,67.98,24.15,-0.0464,0.98,0.9807,1,CRITICAL
56.1,43.59,58.04,27.18,0.0301,1.03,0.9385,1,CRITICAL
50.75,31.92,73.74,23.55,0.0344,1.24,0.8458,1,CRITICAL
46.91,10.76,38.95,40.17,0.0273,0.78,0.9358,1,CRITICAL
24.11,16.48,37.08,25.75,0.0168,1.42,0.2586,0,MODERATE
78.13,75.48,101.72,40.83,0.1174,0.6,0.9991,1,CRITICAL
36.02,14.43,32.41,33.7,0.0349,1.0,0.8023,1,CRITICAL
43.33,18.24,61.94,31.37,0.0385,1.0,0.9388,1,CRITICAL
94.86,54.02,93.85,30.58,0.1001,0.64,0.9992,1,CRITICAL
46.55,2.67,37.46,30.76,0.0218,0.99,0.8113,1,CRITICAL
47.81,14.77,42.2,14.51,0.0385,2.05,0.1061,0,LOW
27.52,15.72,35.98,26.05,0.01,1.36,0.301,0,MODERATE
25.27,19.91,30.68,33.92,-0.0693,1.08,0.7037,1,HIGH
13.41,23.43,21.98,27.66,-0.0124,1.43,0.1691,0,MODERATE
11.96,15.06,13.53,18.16,0.0041,2.2,0.0103,0,LOW
59.97,27.11,64.84,27.63,0.0424,0.98,0.9636,1,CRITICAL
37.8,17.21,34.88,39.93,0.0178,0.84,0.8662,1,CRITICAL
8.77,9.41,14.42,36.73,0.0043,1.13,0.1562,0,HIGH
82.59,41.16,72.97,27.57,-0.0615,0.8,0.9919,1,CRITICAL
72.35,42.07,74.6,34.66,0.0745,0.71,0.9955,1,CRITICAL
40.16,2.9,33.55,25.43,0.0135,1.26,0.5111,1,HIGH
73.92,26.02,62.59,16.07,0.0417,1.45,0.9327,1,CRITICAL
67.41,30.34,57.29,21.53,0.0556,1.16,0.8931,1,CRITICAL
49.1,0.0,41.0,38.94,0.0389,0.79,0.9471,1,CRITICAL
22.56,19.33,21.54,26.08,0.0095,1.42,0.1981,0,MODERATE
44.06,15.83,49.26,26.3,0.021,1.18,0.6574,1,HIGH
39.93,37.89,51.7,25.9,0.0181,1.24,0.5446,1,HIGH
31.75,30.95,41.6,41.33,-0.0379,0.86,0.8204,1,CRITICAL
55.08,26.8,53.73,39.38,0.0537,0.74,0.9542,1,CRITICAL
64.86,41.62,52.69,43.53,-0.0593,0.64,0.9932,1,CRITICAL
48.21,59.32,86.48,26.89,0.039,1.11,0.9647,1,CRITICAL
19.46,7.91,18.32,30.07,0.0071,1.26,0.1959,0,MODERATE
26.79,18.58,37.99,17.38,0.0312,2.04,0.0421,0,LOW
82.97,72.76,102.99,38.34,0.119,0.6,0.9991,1,CRITICAL
15.17,20.37,30.08,19.83,0.0524,1.97,0.0342,0,LOW
48.02,35.71,42.11,29.52,0.1772,1.02,0.9829,1,CRITICAL
37.96,0.0,36.06,20.32,0.0335,1.6,0.3937,0,MODERATE
55.13,27.72,44.56,23.88,0.024,1.18,0.9241,1,CRITICAL
58.99,21.08,61.42,22.14,0.0307,1.22,0.8313,1,CRITICAL
53.17,33.81,56.78,23.74,0.0283,1.2,0.7706,1,CRITICAL
69.38,52.08,74.9,24.23,0.1069,1.02,0.9851,1,CRITICAL
57.21,44.95,45.94,24.16,0.0273,1.14,0.8649,1,CRITICAL
50.54,30.2,65.97,33.83,-0.056,0.88,0.9646,1,CRITICAL
57.6,34.47,66.22,20.27,0.0737,1.35,0.901,1,CRITICAL
73.34,35.62,60.95,29.54,0.0697,0.82,0.988,1,CRITICAL
47.58,16.94,44.47,36.53,0.0394,0.84,0.9515,1,CRITICAL
71.66,53.34,72.59,24.41,0.0451,0.99,0.9812,1,CRITICAL
69.69,38.91,66.03,22.97,0.0381,1.07,0.9652,1,CRITICAL
26.19,14.89,22.79,26.39,0.0154,1.36,0.273,0,MODERATE
28.08,20.5,23.83,36.26,0.0536,0.99,0.7094,1,CRITICAL
57.63,40.63,68.91,29.36,0.0741,0.95,0.9671,1,CRITICAL
75.66,29.67,63.07,24.28,-0.0413,0.96,0.9803,1,CRITICAL
34.15,17.46,30.15,31.39,0.0159,1.08,0.6277,1,HIGH
50.92,31.88,67.4,20.28,-0.0365,1.43,0.7619,1,CRITICAL
58.91,37.88,61.33,32.77,0.0492,0.85,0.9485,1,CRITICAL
12.26,24.21,23.73,30.86,0.0049,1.3,0.1717,0,MODERATE
57.72,21.83,55.97,25.85,0.0347,1.07,0.8982,1,CRITICAL
32.54,7.87,38.66,22.13,-0.0557,1.54,0.319,0,MODERATE
48.91,32.25,52.94,21.79,0.0642,1.36,0.8301,1,CRITICAL
16.36,31.1,64.63,31.74,0.0235,1.23,0.4727,0,MODERATE
31.31,17.62,28.83,36.6,0.0261,0.96,0.8384,1,CRITICAL
50.95,29.84,44.39,23.54,0.0215,1.24,0.7514,1,CRITICAL
46.11,1.23,37.77,31.21,0.0384,0.98,0.8451,1,CRITICAL
35.96,33.82,44.87,13.39,0.008,2.46,0.0137,0,LOW
45.57,17.35,48.4,23.91,0.0213,1.28,0.5539,1,HIGH
58.54,28.94,48.6,27.78,0.0264,0.99,0.9399,1,CRITICAL
49.9,21.44,46.72,21.63,0.0241,1.36,0.6613,1,HIGH
25.32,8.4,23.2,21.44,0.0327,1.68,0.1368,0,LOW
21.56,30.91,23.29,23.33,0.0646,1.59,0.1645,0,LOW
66.05,62.09,98.16,30.05,0.0815,0.86,0.9949,1,CRITICAL
53.78,45.21,60.27,26.69,0.0493,1.07,0.8924,1,CRITICAL
55.86,28.39,44.8,12.33,0.0149,2.24,0.0663,0,LOW
41.1,28.55,37.25,13.16,0.0177,2.39,0.0244,0,LOW
31.11,19.2,25.04,23.75,0.0262,1.45,0.2358,0,LOW
30.64,28.54,43.33,31.2,-0.0241,1.12,0.5477,1,HIGH
62.89,46.96,59.82,12.0,-0.0164,2.15,0.1782,0,LOW
28.09,61.12,99.26,24.5,0.043,1.44,0.7245,1,HIGH
53.72,60.54,62.81,24.32,0.0311,1.17,0.894,1,CRITICAL
52.83,41.53,53.2,37.72,0.0369,0.79,0.9637,1,CRITICAL
22.57,14.14,42.56,25.3,0.0179,1.46,0.2614,0,MODERATE
41.08,28.93,51.16,30.68,-0.0227,1.04,0.7637,1,CRITICAL
61.94,36.22,53.74,28.99,0.0471,0.92,0.9725,1,CRITICAL
44.95,28.82,47.3,13.09,0.0246,2.33,0.0254,0,LOW
16.35,22.02,25.26,33.38,0.009,1.17,0.3099,0,HIGH
77.16,50.41,70.73,29.51,0.1038,0.79,0.9973,1,CRITICAL
43.03,8.84,37.39,31.56,-0.043,1.0,0.8367,1,CRITICAL
25.23,27.2,23.98,55.0,0.0128,0.74,0.6773,1,CRITICAL
81.81,37.27,70.4,13.41,0.0465,1.6,0.8783,1,CRITICAL
22.8,5.08,18.4,40.07,-0.0121,0.94,0.4509,0,CRITICAL
56.52,43.53,82.54,25.99,0.0612,1.07,0.9668,1,CRITICAL
50.04,42.53,57.41,30.01,0.0529,0.99,0.9476,1,CRITICAL
34.96,24.64,45.52,27.68,0.0171,1.21,0.6042,1,HIGH
24.58,12.81,32.41,25.03,0.0229,1.45,0.2593,0,MODERATE
70.01,39.89,73.54,24.01,0.071,1.02,0.9858,1,CRITICAL
40.73,37.69,92.73,30.31,-0.044,1.06,0.9378,1,CRITICAL
58.93,24.24,54.44,17.38,0.0198,1.55,0.5244,1,HIGH
12.56,4.85,28.75,33.25,0.0044,1.21,0.1398,0,MODERATE
64.53,32.29,58.31,25.09,0.0332,1.03,0.9451,1,CRITICAL
71.49,58.29,86.08,20.09,0.0413,1.2,0.9693,1,CRITICAL
59.96,51.89,77.25,24.85,0.0443,1.08,0.914,1,CRITICAL
29.55,47.68,58.53,36.8,0.0266,0.97,0.7852,1,CRITICAL
42.47,30.78,34.06,24.25,0.0134,1.29,0.6083,1,HIGH
52.47,23.09,47.29,30.51,0.041,0.95,0.9149,1,CRITICAL
41.36,21.34,35.25,22.88,0.0834,1.38,0.8113,1,CRITICAL
37.6,23.17,39.15,33.31,0.051,0.99,0.8905,1,CRITICAL
71.96,19.19,67.83,32.8,0.0577,0.75,0.9901,1,CRITICAL
33.24,6.44,31.03,40.94,0.0361,0.86,0.7935,1,CRITICAL
73.32,45.09,77.93,26.77,0.0924,0.89,0.9927,1,CRITICAL
38.29,19.48,35.35,32.68,-0.0503,1.01,0.8253,1,CRITICAL
52.01,47.4,70.46,28.69,0.0674,1.01,0.9353,1,CRITICAL
72.42,41.16,60.87,37.07,0.0776,0.67,0.9911,1,CRITICAL
27.48,0.0,28.85,22.97,0.0113,1.54,0.0805,0,LOW
32.83,29.71,40.87,33.22,0.0162,1.03,0.6657,1,HIGH
39.03,28.89,45.17,26.64,0.0257,1.21,0.787,1,CRITICAL
45.14,28.63,37.33,27.55,0.0163,1.12,0.5436,1,HIGH
80.35,66.09,92.37,28.64,0.1681,0.79,0.9993,1,CRITICAL
17.74,15.29,27.86,29.77,0.0116,1.29,0.2155,0,MODERATE
41.12,50.55,63.48,27.19,-0.0713,1.17,0.8717,1,CRITICAL
40.94,28.96,63.08,29.5,0.0476,1.08,0.9083,1,CRITICAL
61.33,27.08,60.9,39.05,0.0566,0.71,0.9796,1,CRITICAL
41.28,45.85,69.27,34.9,0.0352,0.92,0.8383,1,CRITICAL
25.75,25.65,48.9,34.08,0.0184,1.07,0.5597,1,HIGH
45.6,53.06,84.08,24.81,0.0485,1.23,0.8472,1,CRITICAL
28.83,50.87,51.57,21.78,0.0374,1.61,0.1515,0,LOW
68.81,52.46,80.87,34.69,0.1226,0.74,0.9976,1,CRITICAL
82.28,47.32,75.33,34.13,0.0726,0.66,0.9957,1,CRITICAL
56.52,20.58,48.79,38.31,0.0378,0.75,0.9623,1,CRITICAL
22.49,15.54,54.23,23.77,0.0103,1.55,0.1725,0,LOW
26.08,23.33,40.1,26.39,-0.0137,1.36,0.2324,0,MODERATE
